body,fuel,model_date,doors,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,generation,restyling,age,price,brand,features_count
0,0,2009,5,2,1.7,80,91000,2,1,1,2,1,1.0,9.0,295000,1,0
6,5,2017,5,0,3.0,249,35000,2,1,1,1,4,0.0,2.0,3700000,0,0
0,0,2012,5,0,2.0,150,21665,0,1,1,1,1,1.0,7.0,793000,0,24
0,0,2009,5,2,1.7,80,67000,2,1,1,3,1,1.0,6.0,335000,1,0
11,0,2009,5,2,1.6,105,95866,1,1,1,1,5,0.0,7.0,480000,18,35
3,0,2013,2,0,2.0,245,45000,2,1,1,1,0,0.0,7.0,1730000,0,19
11,0,2011,5,3,1.6,125,120000,1,1,1,1,3,0.0,9.0,430000,4,44
0,0,2015,5,1,2.4,167,17139,2,1,1,1,3,1.0,2.0,1857000,12,31
0,0,2014,5,0,3.0,178,55000,2,1,1,1,4,1.0,6.0,1900000,12,29
11,0,2009,5,0,1.6,105,148623,1,1,1,1,5,0.0,7.0,448000,18,12
11,0,2011,5,0,1.6,123,270000,1,1,1,3,3,0.0,7.0,380000,7,0
11,0,2017,5,0,1.6,123,4960,1,1,1,1,2,0.0,2.0,850000,6,0
11,0,2014,5,0,2.5,149,123000,1,1,1,3,5,0.0,5.0,880000,4,57
11,0,2009,5,2,1.6,105,48000,1,1,1,1,5,0.0,5.0,547500,18,14
11,0,2017,5,2,1.6,123,12000,1,1,1,2,2,0.0,2.0,770000,6,33
11,0,2012,5,2,1.6,117,130000,1,1,1,1,7,0.0,6.0,630000,13,0
0,0,2018,5,1,2.0,150,24469,1,1,1,1,1,0.0,1.0,2387000,9,0
2,0,2002,5,2,1.4,75,305385,1,1,1,3,1,1.0,10.0,140000,14,8
11,0,2014,5,2,1.6,123,117000,1,1,1,2,1,1.0,6.0,520000,6,0
0,1,2007,5,1,2.5,169,199000,2,1,1,2,2,0.0,10.0,670000,13,43
11,0,2009,5,0,4.7,435,152618,2,1,1,3,5,1.0,8.0,1549000,11,0
15,0,2017,5,0,1.4,100,12300,1,1,1,2,4,0.0,2.0,755000,7,0
11,0,2013,5,0,1.6,104,130000,1,1,1,1,3,0.0,6.0,730000,10,34
0,5,2013,5,0,3.0,218,67000,2,1,1,1,3,0.0,3.0,2890000,0,67
0,5,2012,5,0,2.2,197,151420,2,1,1,3,3,0.0,7.0,1750000,6,60
0,0,2009,5,0,5.5,388,221000,2,1,1,3,1,1.0,9.0,1080000,11,51
8,1,2010,5,0,2.3,161,143666,1,1,1,2,1,1.0,9.0,840391,4,34
6,0,2010,5,3,2.0,240,175000,1,1,1,3,4,1.0,9.0,550000,4,67
11,0,2004,5,2,1.4,94,150000,1,1,1,3,0,0.0,9.0,255000,1,0
3,0,2017,2,3,4.0,585,8000,0,1,1,1,1,1.0,1.0,11000000,11,32
0,0,2012,5,0,1.6,150,36400,2,1,1,1,2,0.0,6.0,1025000,4,57
11,0,2009,5,2,1.6,84,135000,1,1,1,3,1,1.0,7.0,350000,15,0
6,0,2012,5,2,1.6,110,60000,1,1,1,3,1,0.0,4.0,672000,16,34
11,0,2011,5,0,1.8,204,160000,0,1,1,3,3,1.0,9.0,790000,11,0
2,0,2010,7,0,1.8,141,180000,1,1,1,3,1,0.0,8.0,570000,1,37
0,0,2013,5,0,5.0,550,14850,2,1,1,1,2,0.0,3.0,5730000,8,71
11,0,2011,5,2,1.4,122,188000,1,1,1,2,0,0.0,7.0,635000,18,47
0,0,2016,5,3,2.0,180,91976,2,1,1,1,2,0.0,3.0,1647000,18,40
0,0,2013,5,0,2.0,150,66000,1,1,1,2,1,1.0,6.0,980000,6,8
11,0,2012,5,2,1.6,102,68000,1,1,1,3,3,0.0,7.0,400000,13,0
0,0,2016,5,2,1.6,114,75000,1,1,1,1,1,0.0,1.0,799000,15,0
0,5,2011,5,0,3.0,258,136000,2,1,1,2,3,0.0,8.0,1550000,11,0
15,0,2012,5,2,1.6,129,78000,1,1,1,2,2,0.0,7.0,550000,7,0
11,0,2011,5,0,1.6,150,133000,1,1,1,2,1,0.0,8.0,620000,14,0
0,0,2013,5,0,4.4,450,107000,2,1,1,1,3,0.0,7.0,2170000,0,60
0,0,2013,5,0,2.4,167,136000,2,1,1,1,1,1.0,6.0,890000,1,53
11,0,2004,5,2,1.4,94,215000,1,1,1,3,0,0.0,10.0,225000,1,0
0,5,2011,5,0,2.2,150,93000,2,1,1,1,1,0.0,6.0,1790000,8,69
0,5,2010,5,0,2.0,184,183000,2,1,1,3,3,0.0,9.0,850000,7,0
0,0,2010,5,1,2.0,141,125014,2,1,1,1,1,1.0,8.0,670000,13,44
11,0,2011,5,0,2.0,150,55000,1,1,1,1,1,0.0,6.0,880000,6,0
11,0,2017,4,0,3.0,367,174,2,1,1,1,1,1.0,1.0,13984475,11,92
0,5,2010,5,0,3.0,245,102653,2,1,1,2,2,1.0,8.0,1747000,0,45
6,0,2008,5,3,1.8,152,149025,1,1,1,3,2,0.0,9.0,540000,16,48
0,0,2010,5,2,2.0,135,80000,2,1,1,1,1,0.0,8.0,650000,15,0
11,0,2017,5,0,1.4,100,62074,1,1,1,1,4,0.0,3.0,605000,7,20
0,0,2008,5,0,5.5,388,96000,2,1,1,3,2,1.0,9.0,3150000,11,0
0,0,2012,5,0,2.0,184,127000,2,1,1,3,1,1.0,8.0,800000,0,24
6,0,2017,5,0,2.0,247,9122,2,1,1,1,1,0.0,2.0,2390000,7,56
11,0,2008,5,0,2.0,150,169000,1,1,1,3,2,0.0,9.0,520000,7,12
0,5,2018,5,0,3.0,249,16250,2,1,1,1,1,0.0,1.0,6777000,0,60
11,0,2012,5,0,1.6,150,61000,1,1,1,2,1,0.0,8.0,450000,14,11
15,0,2012,5,3,1.4,122,146500,1,1,1,3,7,0.0,7.0,750000,18,0
0,5,2010,5,0,2.0,184,172000,2,1,1,3,3,0.0,8.0,820000,7,16
11,0,2009,5,2,1.6,105,117350,1,1,1,1,5,0.0,8.0,399000,18,8
0,0,2017,5,2,2.0,144,18400,1,1,1,1,2,1.0,1.0,1330000,13,17
11,0,2009,5,0,1.6,109,130000,1,1,1,2,1,0.0,8.0,400000,1,20
15,0,2014,5,3,1.6,105,44521,1,1,1,1,3,1.0,4.0,670000,4,32
11,0,2015,5,0,2.4,188,13000,1,1,1,1,4,0.0,3.0,1450000,7,79
11,0,2011,5,3,1.6,125,109000,1,1,1,2,3,0.0,7.0,410000,4,0
11,0,2010,5,2,1.8,150,131000,1,1,1,2,5,0.0,7.0,650000,6,0
6,0,2017,5,3,1.8,180,18000,1,1,1,1,3,1.0,1.0,1490000,16,0
0,0,2012,5,0,2.4,190,105336,2,1,1,2,4,0.0,7.0,1249000,5,41
11,0,2011,5,0,3.5,317,252500,2,1,1,1,4,0.0,8.0,1269000,9,31
11,0,2012,4,0,3.0,320,108000,2,1,1,3,5,1.0,5.0,1900000,0,71
15,0,2010,5,2,1.6,110,115500,1,1,1,1,2,0.0,8.0,500000,3,39
11,5,2015,4,0,3.0,313,45000,2,1,1,3,3,1.0,4.0,2600000,0,0
2,1,2010,7,0,1.8,141,195000,1,1,1,1,1,0.0,8.0,625000,1,55
8,5,2014,6,0,2.1,163,18000,2,1,1,1,2,0.0,4.0,3700000,11,0
15,0,2011,5,0,1.6,105,119500,1,1,1,2,2,1.0,8.0,550000,10,2
11,0,2010,5,0,1.6,150,213602,1,1,1,1,2,0.0,7.0,389000,3,30
11,0,2011,5,0,1.6,115,104365,1,1,1,3,2,0.0,7.0,420000,1,31
0,0,2010,5,1,1.6,117,73823,1,1,1,2,1,0.0,6.0,680000,13,0
0,0,2013,5,3,2.0,211,16858,1,1,1,3,1,0.0,4.0,1510000,11,0
11,0,2008,5,0,1.6,150,130000,1,1,1,2,2,0.0,8.0,430000,3,0
0,5,2014,5,0,3.0,381,78000,2,1,1,2,2,0.0,5.0,3450000,0,0
15,0,2017,5,0,1.6,123,91326,1,1,1,2,4,0.0,3.0,777000,7,19
0,5,2008,5,0,2.1,170,100000,2,1,1,2,1,0.0,8.0,1500000,11,0
11,0,2017,5,0,1.6,123,107000,1,1,1,1,2,0.0,2.0,780000,6,13
12,0,2012,5,0,1.6,129,93000,1,1,1,2,2,0.0,6.0,695000,7,63
8,0,2015,7,3,2.0,204,14750,2,1,1,1,0,0.0,4.0,6199999,18,7
11,0,2014,5,3,1.4,125,60085,1,1,1,1,5,1.0,3.0,700000,18,0
0,0,2010,5,0,2.0,150,142000,1,1,1,3,1,0.0,8.0,755000,6,37
11,0,2009,5,0,1.8,141,325000,1,1,1,2,1,0.0,9.0,310000,1,0
11,0,2010,5,0,1.6,123,93000,1,1,1,2,1,0.0,9.0,475000,6,20
11,0,2010,4,0,2.0,184,82000,0,1,1,3,6,0.0,8.0,1140000,0,50
15,0,2011,4,3,1.2,105,95478,1,1,1,1,2,0.0,7.0,800000,18,0
11,0,2017,5,2,1.6,123,6600,1,1,1,1,4,0.0,1.0,780000,7,35
0,0,2009,5,0,2.3,238,68900,2,1,1,3,1,1.0,10.0,755000,10,24
0,0,2014,5,0,2.0,143,7500,2,1,1,2,3,0.0,2.0,970000,13,32
8,5,2015,5,3,2.0,140,32000,1,1,1,1,0,0.0,2.0,3300000,18,57
11,0,2010,5,0,1.6,150,94000,1,1,1,2,2,0.0,7.0,510000,3,34
11,0,2009,5,2,1.6,105,71000,1,1,1,2,5,0.0,6.0,550000,18,0
11,0,2012,5,2,1.6,102,86000,1,1,1,1,2,0.0,2.0,400000,15,0
6,0,2008,5,2,1.4,122,265000,1,1,1,1,2,1.0,7.0,410000,16,36
11,0,2017,5,0,1.6,123,50000,1,1,1,1,4,0.0,3.0,875000,7,58
0,0,2016,5,0,2.0,149,83162,2,1,1,1,1,0.0,3.0,999000,6,0
11,0,2009,5,2,1.6,105,84000,1,1,1,2,5,0.0,9.0,380000,18,0
11,0,2009,4,0,3.5,306,237000,2,1,1,2,5,1.0,9.0,1100000,11,0
6,0,2017,5,0,1.6,110,61943,1,1,1,1,3,1.0,2.0,870000,16,20
0,5,2012,5,0,3.0,211,62000,2,1,1,1,2,1.0,7.0,3950000,11,69
11,0,2014,4,0,5.5,585,11311,2,1,1,1,2,1.0,5.0,6400000,11,0
11,0,2017,5,0,1.6,123,31000,1,1,1,1,2,0.0,2.0,777000,6,0
11,5,2011,5,0,2.0,160,280000,1,1,1,3,8,0.0,7.0,550000,1,0
15,0,2011,5,2,1.0,69,53054,1,1,1,1,2,0.0,6.0,415000,7,16
15,0,2009,5,2,1.6,84,60610,1,1,1,1,1,0.0,9.0,368000,15,18
11,0,2015,5,0,2.4,188,68000,1,1,1,1,4,0.0,3.0,1249000,7,0
11,0,2015,5,0,1.6,123,128057,1,1,1,1,3,1.0,5.0,589000,7,16
15,0,2012,5,2,1.6,109,108000,1,1,1,2,1,1.0,7.0,445000,1,30
0,0,2009,5,0,2.3,238,197000,2,1,1,2,1,1.0,10.0,599990,10,0
11,0,2011,5,0,1.6,117,140000,1,1,1,3,0,1.0,7.0,680000,12,24
11,0,2010,5,3,2.0,200,127000,1,1,1,1,4,1.0,10.0,469000,4,17
0,0,2010,5,0,3.0,306,152000,2,1,1,3,2,1.0,10.0,1000000,0,0
11,0,2007,5,0,1.5,109,136000,1,1,1,3,0,0.0,10.0,425000,12,0
11,0,2010,5,2,1.6,120,185000,1,1,1,1,4,1.0,8.0,390000,4,8
0,0,2014,5,0,2.0,238,16000,2,1,1,3,1,0.0,4.0,2500000,9,27
0,0,2009,5,0,3.5,275,177000,2,1,1,3,1,0.0,9.0,1150000,5,59
11,0,2011,5,2,1.6,123,79000,1,1,1,1,3,0.0,6.0,530000,7,31
11,0,2014,5,0,3.0,367,51185,2,1,1,1,4,0.0,3.0,2690000,11,47
0,5,2008,5,0,3.0,224,284631,2,1,1,3,2,1.0,10.0,996000,11,24
11,5,2008,5,0,2.0,138,116338,1,1,1,3,2,0.0,10.0,490000,3,45
15,0,2011,5,3,1.6,156,73000,1,1,1,2,2,0.0,8.0,820000,11,0
11,0,2014,5,0,1.6,123,62000,1,1,1,2,1,1.0,5.0,525000,6,0
0,0,2010,5,0,2.0,150,173945,1,1,1,1,1,0.0,8.0,750000,6,0
0,0,2016,5,0,2.0,150,53000,2,1,1,1,4,0.0,4.0,1230000,7,52
11,0,2009,4,0,2.0,184,105000,0,1,1,2,6,0.0,7.0,1020000,0,0
11,0,2013,5,2,1.6,130,102000,1,1,1,2,3,0.0,7.0,620000,7,42
15,0,2011,5,0,1.6,136,146000,0,1,1,2,2,0.0,7.0,670000,0,21
0,5,2009,5,0,3.0,245,157000,2,1,1,1,1,1.0,8.0,1300000,8,0
0,0,2013,5,3,2.0,211,140000,2,1,1,2,1,0.0,6.0,1115000,11,34
11,5,2015,4,0,3.0,400,205,2,1,1,1,6,0.0,2.0,6750000,0,0
12,0,2004,5,2,1.6,109,58200,1,1,1,1,0,0.0,8.0,379000,1,14
8,5,2009,5,3,2.0,180,112000,1,1,1,3,0,0.0,8.0,1600000,18,0
11,0,2005,5,3,1.8,152,60000,1,1,1,2,0,0.0,10.0,460000,18,0
0,5,2010,5,0,3.0,245,249680,2,1,1,3,2,1.0,8.0,1278000,0,28
12,0,2014,5,2,1.6,105,380000,1,1,1,1,3,1.0,5.0,420000,4,31
15,0,2009,5,2,1.4,75,25239,1,1,1,2,1,0.0,10.0,425000,15,6
0,0,2018,5,0,3.0,340,9,2,1,1,1,1,0.0,0.0,6495401,0,20
15,7,2013,5,0,0.0,170,74058,0,1,1,1,1,0.0,6.0,1450000,0,44
15,0,2012,5,2,1.6,129,115000,1,1,1,2,2,0.0,6.0,610000,7,0
0,0,2013,5,1,2.0,144,117205,2,1,1,2,3,0.0,4.0,1069000,13,43
0,5,2015,7,0,3.0,249,138000,2,1,1,3,1,0.0,4.0,2830000,11,29
0,5,2008,5,2,2.5,178,212250,2,1,1,1,2,0.0,8.0,930000,12,19
15,0,2011,5,0,1.6,130,16500,1,1,1,2,2,0.0,8.0,700000,6,36
15,0,2010,5,0,1.6,123,74423,1,1,1,2,1,0.0,8.0,525000,6,10
12,0,2012,5,1,2.5,167,160000,2,1,1,3,4,1.0,8.0,910000,17,42
11,0,2010,5,3,2.0,200,200000,1,1,1,2,4,1.0,7.0,670000,4,63
8,5,2015,7,2,2.0,140,102000,2,1,1,1,0,0.0,4.0,2130000,18,38
11,5,2010,4,0,3.0,258,170000,2,1,1,3,6,0.0,8.0,1050000,0,48
11,4,2012,4,1,5.0,394,142000,2,1,1,2,4,1.0,8.0,1730000,9,89
11,0,2008,4,0,4.4,407,210000,2,1,1,3,5,0.0,9.0,850000,0,58
11,0,2014,5,2,1.4,107,248000,1,1,1,2,1,1.0,4.0,500000,6,0
0,0,2010,5,1,1.8,140,102000,1,1,1,3,1,0.0,8.0,615000,12,52
11,0,2006,5,0,1.8,184,148000,0,1,1,3,3,0.0,10.0,790000,11,26
11,1,2009,5,0,1.6,109,123757,1,1,1,3,1,0.0,8.0,325000,1,12
6,0,2013,5,3,1.8,152,195000,1,1,1,3,2,1.0,6.0,585000,16,0
11,0,2012,4,0,4.4,450,105000,2,1,1,3,5,1.0,5.0,1500000,0,0
11,0,2017,5,0,1.6,123,40000,1,1,1,1,4,0.0,2.0,810000,7,0
0,0,2010,5,1,1.6,117,82500,1,1,1,2,1,1.0,8.0,650000,13,33
0,0,2013,5,1,2.0,144,77000,1,1,1,1,2,0.0,4.0,1000000,13,51
0,5,2008,5,2,2.5,178,190340,2,1,1,3,2,0.0,8.0,849000,12,27
0,5,2008,5,0,3.0,245,150000,2,1,1,3,1,0.0,10.0,1420000,0,62
12,0,2011,5,3,1.8,152,190000,1,1,1,1,0,0.0,8.0,630000,18,0
11,0,2011,5,0,1.6,115,60000,1,1,1,2,2,0.0,8.0,415000,1,32
15,0,2011,5,2,1.6,130,990000,1,1,1,2,2,0.0,7.0,425000,6,45
11,0,2010,5,0,1.6,123,168000,1,1,1,2,1,0.0,9.0,360000,6,0
11,0,2011,5,0,2.0,150,107000,1,1,1,3,1,0.0,7.0,750000,6,0
0,5,2013,5,0,3.0,218,76000,2,1,1,1,3,0.0,5.0,2399000,0,54
0,5,2008,5,0,2.1,170,190872,2,1,1,3,1,0.0,8.0,950000,11,0
0,0,2010,5,0,2.0,135,67000,1,1,1,2,1,0.0,7.0,530000,15,26
11,0,2019,5,0,2.0,150,24290,1,1,1,1,8,0.0,1.0,1589000,6,17
11,5,2012,4,0,3.0,381,172000,2,1,1,3,5,1.0,7.0,1690000,0,64
0,5,2016,5,0,2.0,185,110000,2,1,1,2,4,0.0,4.0,1480000,7,91
15,0,2011,5,3,1.6,105,101000,1,1,1,2,3,0.0,6.0,500000,4,0
0,0,2013,5,0,2.0,150,62228,2,1,1,2,1,1.0,6.0,899900,6,22
0,0,2013,5,1,2.5,171,76000,2,1,1,2,3,0.0,2.0,1519000,13,43
11,0,2008,5,2,1.4,98,225000,1,1,1,2,0,0.0,10.0,285000,15,21
